,S,I,R,D,P,N,C
125,0.350045643548826,3.1503043542924076e-09,0.6434548097678611,0.0064995435330087,0.9935004564669913,0.16558340941116523,6.590219690384973
126,0.35004564286898043,2.6050315635322812e-09,0.6434548109807282,0.006499543545259883,0.9935004564547402,0.16558340940912336,6.590219691027102
127,0.35004564230680646,2.1541377214278986e-09,0.6434548119836654,0.006499543555390562,0.9935004564446095,0.1655834094074349,6.590219691558087
128,0.35004564184193676,1.7812871774350798e-09,0.6434548128130084,0.006499543563767764,0.9935004564362322,0.16558340940603872,6.5902196919971665
129,0.3500456414575294,1.4729717491283174e-09,0.643454813498804,0.006499543570694992,0.993500456429305,0.16558340940488417,6.590219692360247
130,0.35004564113965747,1.2180213278312927e-09,0.6434548140658981,0.006499543576423216,0.9935004564235768,0.1655834094039295,6.590219692660485
131,0.3500456408768046,1.0071991914157723e-09,0.6434548145348363,0.006499543581159965,0.99350045641884,0.16558340940314,6.590219692908754
132,0.3500456406594479,8.32867362672566e-10,0.643454814922608,0.006499543585076851,0.9935004564149231,0.1655834094024872,6.5902196931140535
133,0.3500456404797125,6.887098893692431e-10,0.643454815243262,0.006499543588315779,0.9935004564116843,0.16558340940194738,6.590219693283817
134,0.3500456403310867,5.695040205794577e-10,0.6434548155084153,0.006499543590994095,0.9935004564090059,0.16558340940150099,6.5902196934241974
135,0.35004564020818596,4.709309891241314e-10,0.6434548157276744,0.006499543593208833,0.9935004564067912,0.16558340940113186,6.590219693540281
136,0.3500456401065576,3.894195448725012e-10,0.6434548159089828,0.006499543595040231,0.9935004564049598,0.16558340940082664,6.5902196936362705
137,0.35004564002251964,3.2201657019696257e-10,0.6434548160589093,0.00649954359655464,0.9935004564034453,0.16558340940057426,6.590219693715646
138,0.35004563995302745,2.662800900475318e-10,0.6434548161828857,0.006499543597806926,0.9935004564021931,0.16558340940036553,6.590219693781283
139,0.35004563989556337,2.2019080045687945e-10,0.6434548162854036,0.00649954359884246,0.9935004564011576,0.16558340940019295,6.590219693835559
140,0.3500456398480455,1.820789101998186e-10,0.643454816370177,0.006499543599698758,0.9935004564003013,0.16558340940005023,6.5902196938804405
141,0.3500456398087523,1.5056364511864112e-10,0.6434548164402774,0.006499543600406842,0.9935004563995932,0.1655834093999322,6.590219693917554
142,0.3500456397762602,1.2450322338743102e-10,0.6434548164982443,0.006499543600992368,0.9935004563990076,0.16558340939983462,6.590219693948244
143,0.350045639749392,1.02953489345124e-10,0.6434548165461781,0.006499543601476547,0.9935004563985235,0.1655834093997539,6.590219693973621
144,0.35004563972717434,8.513370722250943e-11,0.6434548165858152,0.006499543601876922,0.9935004563981231,0.1655834093996872,6.590219693994606
145,0.3500456397088022,7.039827548760165e-11,0.6434548166185916,0.006499543602207998,0.993500456397792,0.165583409399632,6.590219694011958
146,0.35004563969361,5.821333703473474e-11,0.6434548166456949,0.006499543602481769,0.9935004563975183,0.16558340939958638,6.590219694026308
147,0.3500456396810474,4.813743781661329e-11,0.6434548166681071,0.006499543602708154,0.9935004563972919,0.16558340939954866,6.590219694038174
148,0.3500456396706592,3.9805533191542914e-11,0.6434548166866401,0.006499543602895355,0.9935004563971046,0.16558340939951746,6.5902196940479865
149,0.35004563966206903,3.2915762544052855e-11,0.6434548167019652,0.006499543603050154,0.9935004563969498,0.16558340939949168,6.590219694056099
150,0.3500456396549657,2.7218513030236797e-11,0.6434548167146378,0.00649954360317816,0.9935004563968218,0.1655834093994703,6.590219694062808
151,0.35004563964909186,2.250737623294411e-11,0.643454816725117,0.0064995436032840095,0.993500456396716,0.1655834093994527,6.590219694068357
152,0.3500456396442347,1.8611670091100182e-11,0.6434548167337822,0.0064995436033715385,0.9935004563966284,0.16558340939943808,6.590219694072944
153,0.35004563964021823,1.5390255176508778e-11,0.6434548167409477,0.006499543603443917,0.993500456396556,0.165583409399426,6.590219694076739
154,0.35004563963689694,1.2726421285030664e-11,0.643454816746873,0.006499543603503768,0.9935004563964962,0.16558340939941607,6.590219694079876
155,0.35004563963415053,1.052365908597111e-11,0.6434548167517726,0.0064995436035532594,0.9935004563964467,0.1655834093994078,6.590219694082468
156,0.3500456396318795,8.702163638711311e-12,0.6434548167558243,0.006499543603594185,0.9935004563964058,0.16558340939940097,6.590219694084614
157,0.35004563963000157,7.1959431007920205e-12,0.6434548167591746,0.006499543603628027,0.993500456396372,0.16558340939939534,6.590219694086388
158,0.35004563962844865,5.950427877432103e-12,0.643454816761945,0.0064995436036560114,0.993500456396344,0.16558340939939067,6.590219694087855
159,0.3500456396271645,4.9204935932001745e-12,0.643454816764236,0.006499543603679152,0.9935004563963209,0.16558340939938682,6.590219694089068
160,0.35004563962610263,4.068826259120901e-12,0.6434548167661304,0.006499543603698287,0.9935004563963017,0.16558340939938362,6.59021969409007
161,0.35004563962522456,3.3645704060619385e-12,0.6434548167676969,0.00649954360371411,0.9935004563962859,0.165583409399381,6.5902196940909
162,0.3500456396244985,2.782211206970097e-12,0.6434548167689923,0.006499543603727194,0.9935004563962728,0.16558340939937882,6.590219694091585
163,0.35004563962389806,2.3006500878208446e-12,0.6434548167700634,0.0064995436037380136,0.9935004563962619,0.16558340939937702,6.590219694092154
164,0.35004563962340157,1.90244033714173e-12,0.6434548167709492,0.00649954360374696,0.9935004563962531,0.16558340939937552,6.590219694092622
165,0.350045639622991,1.573155020636254e-12,0.6434548167716816,0.006499543603754359,0.9935004563962456,0.16558340939937427,6.590219694093009
166,0.3500456396226515,1.3008643007803942e-12,0.6434548167722872,0.0064995436037604765,0.9935004563962395,0.16558340939937324,6.59021969409333
167,0.3500456396223708,1.075703224949831e-12,0.643454816772788,0.006499543603765536,0.9935004563962344,0.1655834093993724,6.590219694093594
168,0.35004563962213864,8.895143232641964e-13,0.6434548167732022,0.006499543603769719,0.9935004563962303,0.16558340939937172,6.590219694093813
169,0.3500456396219467,7.355520676522339e-13,0.6434548167735447,0.006499543603773178,0.9935004563962269,0.16558340939937113,6.590219694093996
170,0.3500456396217879,6.082384848419182e-13,0.6434548167738279,0.006499543603776039,0.993500456396224,0.16558340939937066,6.590219694094145
